priority_tier,county,source_result_key,pair_count,example_target_polygon_key,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,score_gap_1_2
manual_medium,Florence,Florence - Florence 12,1,Florence - Florence Ward 12,Florence - Florence Ward 12,0.8980,Florence - Florence Ward 1,0.8750,Florence - Florence Ward 2,0.8750,0.0230
manual_medium,Florence,Florence - Florence 3,1,Florence - Florence Ward 3,Florence - Florence Ward 3,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence 6,1,Florence - Florence Ward 6,Florence - Florence Ward 6,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence 7,1,Florence - Florence Ward 7,Florence - Florence Ward 7,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence 8,1,Florence - Florence Ward 8,Florence - Florence Ward 8,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Florence,Florence - Florence 9,1,Florence - Florence Ward 9,Florence - Florence Ward 9,0.8936,Florence - Florence Ward 1,0.8511,Florence - Florence Ward 2,0.8511,0.0425
manual_medium,Spartanburg,Spartanburg - Cornerstone,1,Spartanburg - Cornerstone Baptist,Spartanburg - Converse,0.8936,Spartanburg - Cornerstone Baptist,0.8621,Spartanburg - Cowpens,0.7826,0.0315
manual_medium,Florence,Florence - Florence 4,1,Florence - Florence Ward 4,Florence - Florence Ward 4,0.8936,Florence - Florence Ward 14,0.8750,Florence - Florence Ward 1,0.8511,0.0186
manual_medium,Florence,Florence - Florence 5,1,Florence - Florence Ward 5,Florence - Florence Ward 5,0.8936,Florence - Florence Ward 15,0.8750,Florence - Florence Ward 1,0.8511,0.0186
manual_medium,Florence,Florence - Florence 1,1,Florence - Florence Ward 1,Florence - Florence Ward 1,0.8936,Florence - West Florence 1,0.8936,Florence - Florence Ward 10,0.8750,0.0000
manual_medium,Florence,Florence - Florence 2,1,Florence - Florence Ward 2,Florence - Florence Ward 2,0.8936,Florence - West Florence 2,0.8936,Florence - Florence Ward 12,0.8750,0.0000
manual_medium,Berkeley,Berkeley - Boulder Bluff No. 1,1,Berkeley - Central,Berkeley - Boulder Bluff,0.8889,,,,,0.8889
manual_medium,Lexington,Lexington - Saint David,1,Lexington - St. Davids,Lexington - St. Davids,0.8889,Lexington - Springdale,0.7556,Lexington - Fairview,0.7442,0.1333
manual_medium,Spartanburg,Spartanburg - Fairforest,1,Spartanburg - Fairforest Elementary,Spartanburg - Airport,0.8889,Spartanburg - Failsafe,0.8261,Spartanburg - Fairgrounds,0.8163,0.0628
manual_medium,Sumter,Sumter - Oakland Plant. 1,1,Sumter - Oakland Plantation 1,Sumter - Oakland Plantation 1,0.8889,Sumter - Oakland Plantation 2,0.8519,,,0.0370
manual_medium,Sumter,Sumter - Oakland Plant. 2,1,Sumter - Oakland Plantation 2,Sumter - Oakland Plantation 2,0.8889,Sumter - Oakland Plantation 1,0.8519,,,0.0370
